TF	lung	oral epithelial cell	adipose tissue subcutaneous	endometrium	neutrophil	Huvec cells	esophagus	astrocyte	fallopian tube	colon fibroblast	central memory CD4. T cell	thalamus subthalamic nucleus	retrocervical infiltrate	small airway epithelial cell	microvascular endothelial cell	uterus	fallopian tube epithelial cell	immortalized airway epithelial cell	amniocyte	thalamus lateral nuclei	thyroid gland	embryoid body differentiation 1	pons	effector memory CD4. T cell	osteoblast	differentiated hepatocyte	trigeminal ganglia	naive B cell	stomach	penis	cultured breast epithelial cell	caudate	stellate neuron from entorhinal cortex	msc to chondrocyte differentiation day 21	activated B cell	hepatic stellate cell Ito cell	neural precursors cells	lung primary fibroblast	large airway epithelial cell	immortalized breast epithelial cell	medulla	activated myeloid dendritic cell	skin cultured fibroblast	substantia nigra reticulata	subthalamic nucleus	hypothalamus	dorsal root ganglia	placenta	colon	cervix
TFAP2A	30	3	43	42	31	40	4	38	42	7	29	25	40	16	43	19	33	1	2	34	22	6	10	29	36	3	17	27	29	2	1	29	27	37	25	41	8	27	18	1	25	31	14	7	25	32	15	2	14	39
ZXDC	10	19	11	13	5	21	11	26	16	20	8	18	17	13	23	17	20	16	16	18	6	17	25	7	22	27	4	9	10	13	17	13	4	26	11	28	18	26	15	15	7	18	34	27	11	10	16	23	19	24
SP140	9	20	36	28	6	24	32	27	36	26	1	6	37	36	20	23	37	30	36	11	24	31	31	1	37	35	6	1	17	17	44	40	21	40	1	12	48	19	33	25	19	21	31	3	29	15	7	12	28	43
ZSCAN16	24	21	15	12	11	10	28	20	19	27	7	35	35	9	9	37	18	6	11	31	21	12	17	5	26	17	37	3	8	16	18	37	15	33	7	29	7	23	11	18	9	14	40	30	16	27	42	32	24	31
FOXS1	45	48	31	33	43	46	45	36	37	48	44	37	34	47	27	26	47	45	48	32	35	42	37	42	30	49	8	45	49	43	47	34	44	50	44	43	49	49	47	47	40	45	49	33	40	39	1	30	36	44
EMX1	35	40	46	40	26	42	23	15	47	40	39	5	31	31	35	8	32	43	22	2	19	44	8	32	47	50	28	42	44	48	38	23	7	29	35	38	31	44	30	43	21	36	43	8	10	6	35	31	11	32
MXD1	12	1	32	49	1	44	1	42	46	10	11	33	32	33	36	46	21	32	46	48	40	43	36	17	17	29	44	16	30	30	10	42	13	39	28	36	34	30	36	19	42	4	48	42	43	41	49	14	13	17
SOX4	21	7	13	2	39	3	10	2	8	6	22	41	5	12	1	2	5	15	9	28	12	2	27	19	7	4	27	31	22	24	3	22	33	5	14	3	3	2	10	2	28	10	11	31	15	14	25	19	17	2
AATF	25	31	16	29	9	13	25	3	18	5	4	15	30	19	7	39	39	3	4	16	26	18	6	6	6	15	36	10	21	26	9	16	30	16	9	11	14	4	21	3	27	7	9	11	21	20	26	28	18	42
PRDM1	3	2	35	3	7	35	3	32	25	8	3	44	11	37	37	7	22	33	28	38	8	15	35	2	42	14	20	28	2	5	8	39	37	20	16	4	30	20	32	21	41	3	15	40	42	43	36	10	5	10
TEAD3	33	23	40	24	49	49	5	12	24	17	48	43	12	35	47	4	29	23	27	42	37	22	41	47	32	16	46	49	12	8	21	48	47	35	49	9	28	17	37	29	46	49	19	46	46	48	47	3	8	4
HOXD12	38	26	41	23	28	22	26	19	5	16	28	9	3	32	29	20	19	28	37	25	20	37	16	35	38	40	24	30	40	34	25	9	31	21	31	31	27	13	28	34	15	34	33	2	23	19	34	37	45	6
GLIS3	20	42	22	4	46	37	42	1	1	1	47	29	2	1	4	14	2	11	3	20	1	29	30	46	1	6	41	46	31	46	23	35	6	1	46	1	6	3	1	48	2	35	1	9	20	7	38	38	35	34
ZNF423	40	47	1	25	50	45	35	7	38	50	49	14	25	39	22	9	17	50	50	4	41	4	14	50	2	13	5	50	38	18	50	31	18	11	50	45	5	48	48	50	18	50	47	20	17	2	23	49	23	13
HAND2	37	49	26	5	42	27	21	29	23	31	43	42	10	46	41	5	38	47	45	44	49	21	39	44	45	12	39	41	6	45	43	44	43	41	26	34	39	45	41	46	44	46	30	45	31	45	10	39	4	9
PROX2	39	25	44	39	34	12	44	39	49	43	35	26	45	43	40	43	42	41	42	15	30	32	24	34	46	42	11	37	9	42	39	7	36	47	18	30	45	46	40	41	4	38	32	29	4	9	13	48	48	21
BARX1	29	29	45	43	37	41	38	30	30	41	30	4	13	44	33	24	44	44	7	41	32	40	38	31	16	46	42	23	1	50	36	47	28	31	19	44	44	40	45	45	38	33	41	36	39	35	43	50	38	46
LCOR	28	8	14	17	12	30	22	13	20	13	12	30	28	5	15	42	10	7	19	29	16	13	23	11	20	8	29	8	32	15	11	21	9	28	13	26	16	14	5	17	17	9	35	26	12	25	22	4	37	37
DMRTA1	17	45	28	31	19	39	41	17	33	11	24	12	29	25	17	41	13	20	12	21	38	41	15	26	28	33	21	24	39	10	30	20	26	24	15	10	37	7	29	20	23	16	26	10	36	31	37	42	39	28
SP1	16	16	4	11	2	7	9	10	11	9	5	23	20	10	6	12	27	4	14	35	15	20	20	10	18	9	16	14	5	19	2	19	38	7	8	13	20	11	8	4	24	12	6	35	19	30	11	6	12	19
PBX3	19	13	20	37	29	17	15	18	32	24	21	20	18	29	16	36	40	13	33	26	3	9	12	20	24	22	7	18	20	22	22	11	12	22	22	16	10	15	31	22	8	19	5	21	6	11	6	18	27	5
ZNF24	14	24	9	16	4	11	17	8	13	4	6	19	7	7	8	31	8	12	5	24	14	10	9	8	10	11	9	4	11	11	13	24	14	9	4	15	13	9	7	7	3	6	7	13	2	4	12	7	9	15
SOX21	44	38	33	30	18	33	48	44	28	37	31	17	41	18	44	38	48	40	39	5	28	39	44	28	43	43	34	32	7	21	46	5	22	44	30	39	38	37	12	38	35	39	37	5	7	36	40	9	50	40
HOXC9	43	28	2	48	47	23	34	41	43	46	37	45	38	49	39	35	43	18	10	39	44	35	49	36	5	41	38	43	28	9	6	45	35	4	48	7	33	43	49	11	43	40	3	44	45	38	3	24	29	49
EGR2	1	46	42	15	15	48	43	47	31	47	46	49	50	17	49	30	30	46	49	40	2	38	50	48	3	30	1	5	45	14	37	36	45	8	3	6	26	42	6	49	39	1	20	48	35	42	2	41	42	29
ALX1	41	22	5	44	36	1	46	16	21	38	38	28	33	23	10	13	24	2	38	30	45	3	1	38	40	1	45	39	42	4	40	18	32	2	32	40	4	29	23	39	34	30	13	39	34	33	45	17	41	48
HOXB13	46	41	49	50	44	36	47	35	48	28	33	39	46	48	42	47	41	39	18	37	48	30	43	43	48	45	49	44	46	44	48	43	39	46	42	22	46	39	46	36	48	43	44	43	41	44	50	47	1	47
HIC2	22	15	23	26	25	31	12	28	4	19	15	40	1	34	26	15	16	27	29	8	5	1	2	14	33	2	15	13	36	32	28	6	3	19	20	24	2	18	39	28	13	11	42	37	38	16	31	5	6	7
TBX21	5	18	37	41	10	20	33	43	35	45	10	32	43	42	48	27	46	42	47	23	23	47	32	4	41	47	25	20	16	35	42	27	34	42	12	37	47	38	42	32	33	24	38	24	9	26	30	29	15	35
GCM1	49	43	48	46	14	34	49	49	50	42	32	46	49	45	46	48	49	48	43	27	46	45	42	39	50	37	47	11	48	49	49	30	40	48	21	49	40	41	44	44	36	44	46	25	48	34	41	1	16	50
FOXK2	32	11	30	27	22	8	18	11	34	14	13	16	16	24	5	25	23	5	15	12	27	26	18	16	21	23	35	17	23	29	7	8	11	27	10	18	19	12	25	5	29	13	16	22	26	23	24	20	25	33
HNF4G	31	14	27	19	20	6	19	31	15	39	45	10	19	4	24	3	25	31	31	6	43	14	5	41	27	25	40	19	3	37	31	12	19	32	40	32	29	28	4	37	16	32	27	6	32	21	19	35	10	22
ZSCAN29	26	33	24	14	23	43	20	23	29	23	16	34	15	22	25	40	15	14	13	36	18	16	28	18	14	21	32	12	34	36	12	26	10	23	23	25	9	16	24	16	30	17	22	32	24	18	28	27	43	27
KLF4	2	12	21	45	30	50	6	48	39	29	42	47	42	21	34	28	35	36	26	49	36	48	48	45	12	44	30	26	15	3	24	50	49	30	43	47	50	47	17	13	45	26	25	50	47	49	46	16	3	20
PRDM14	48	9	38	36	32	28	36	22	44	30	20	27	39	38	21	32	28	29	32	7	33	49	3	21	29	18	14	29	13	47	33	3	20	43	36	19	15	36	35	42	22	20	21	15	33	17	27	25	34	41
CREB3L4	42	35	39	8	45	38	39	37	17	32	34	38	36	11	30	21	12	25	24	43	25	25	46	33	44	28	43	34	19	40	29	41	42	38	39	42	24	35	16	24	49	41	45	41	44	46	44	40	22	45
HOXD9	13	32	25	6	17	16	27	34	27	21	27	21	8	26	11	1	7	26	17	47	42	34	33	30	35	38	33	25	24	12	32	38	23	25	41	27	22	24	22	23	14	27	24	18	30	37	14	21	47	3
ZSCAN12	11	17	17	22	16	14	16	6	7	18	17	8	23	20	18	33	6	9	1	1	7	8	11	13	11	5	10	7	26	25	4	2	5	12	5	8	12	1	20	12	12	15	17	1	14	13	17	8	30	25
ZNF396	7	36	7	7	13	15	29	9	6	22	19	3	24	2	19	11	9	17	20	3	4	24	4	24	23	19	13	21	25	23	34	1	17	14	24	23	23	8	3	33	10	29	29	4	1	5	18	13	26	12
ZNF382	27	44	19	18	21	19	24	5	14	12	2	1	48	6	14	50	3	19	35	10	9	5	7	3	15	10	12	6	18	41	19	4	1	13	6	20	11	10	13	26	11	8	10	14	13	3	33	22	49	38
SOX3	23	37	12	32	24	32	40	14	2	36	18	2	47	28	12	22	4	21	25	14	13	19	29	15	31	36	2	22	43	38	35	14	29	10	33	14	1	22	27	30	26	22	23	17	3	1	8	33	20	26
ATF6	6	27	10	21	8	4	14	4	26	3	9	24	22	15	2	29	26	10	8	13	11	23	22	9	13	20	3	15	27	7	14	17	16	18	17	21	21	5	19	6	20	5	12	19	18	22	9	11	31	36
