TF	lung	oral epithelial cell	adipose tissue subcutaneous	endometrium	neutrophil	Huvec cells	esophagus	astrocyte	fallopian tube	colon fibroblast	central memory CD4. T cell	thalamus subthalamic nucleus	retrocervical infiltrate	small airway epithelial cell	microvascular endothelial cell	uterus	fallopian tube epithelial cell	immortalized airway epithelial cell	amniocyte	thalamus lateral nuclei	thyroid gland	embryoid body differentiation 1	pons	effector memory CD4. T cell	osteoblast	differentiated hepatocyte	trigeminal ganglia	naive B cell	stomach	penis	cultured breast epithelial cell	caudate	stellate neuron from entorhinal cortex	msc to chondrocyte differentiation day 21	activated B cell	hepatic stellate cell Ito cell	neural precursors cells	lung primary fibroblast	large airway epithelial cell	immortalized breast epithelial cell	medulla	activated myeloid dendritic cell	skin cultured fibroblast	substantia nigra reticulata	subthalamic nucleus	hypothalamus	dorsal root ganglia	placenta	colon	cervix
TFAP2A	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
ZXDC	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1
SP140	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1
ZSCAN16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0
FOXS1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1
EMX1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0
SOX4	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
AATF	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0
PRDM1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0
TEAD3	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1
HOXD12	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
GLIS3	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ZNF423	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
HAND2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
PROX2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
BARX1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0
LCOR	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1
DMRTA1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SP1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
PBX3	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0
ZNF24	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
SOX21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
EGR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
ALX1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
