id	TF	group
1	A1	A
2	A1	A
3	A1	A
4	A1	A
5	A1	A
6	A1	A
7	A2	A
8	A2	A
9	A2	A
10	A2	A
11	A2	A
12	A2	A
13	A2	A
14	A2	A
15	A2	A
16	A2	A
17	A3	A
18	A3	A
19	A3	A
20	A3	F
21	A3	B
22	A3	A
23	A3	A
24	A3	D
25	A3	F
26	A3	H
27	A3	A
28	A3	A
29	A3	G
30	A3	A
31	A3	A
32	A3	A
33	A3	A
34	A3	A
35	A3	A
36	A3	A
37	A3	A
38	A3	A
39	A3	A
40	A3	A
41	A3	G
42	A3	G
43	A3	G
44	A3	A
45	A3	G
46	A3	G
47	A3	G
48	A3	A
49	A3	A
50	A3	G
51	A3	A
52	A3	A
53	A3	A
54	A3	A
55	A3	A
56	A3	A
57	A3	A
58	A3	A
59	A3	A
60	A3	A
61	A3	A
62	A3	A
63	A3	A
64	A3	G
65	A3	G
66	A3	G
67	A3	A
68	A4	A
69	A4	A
70	A4	A
71	A4	A
72	A4	A
73	A4	A
74	A4	A
75	A4	A
76	A4	A
77	A4	A
78	A4	A
79	A4	A
80	A4	A
81	A4	A
82	A5	A
83	A5	F
84	A5	A
85	A5	A
86	A5	A
87	A5	H
88	A5	A
89	B1	B
90	B1	B
91	B1	B
92	B1	F
93	B1	B
94	B1	F
95	B1	F
96	B1	B
97	B2	A
98	B2	B
99	B2	B
100	B2	B
101	B2	B
102	B2	D
103	B2	F
104	B2	A
105	B2	B
106	B2	A
107	B3	B
108	B3	F
109	B3	B
110	B3	B
111	B3	F
112	B3	B
113	B3	B
114	B3	B
115	B3	B
116	B3	F
117	B3	B
118	B3	B
119	B3	B
120	B3	B
121	B3	B
122	B3	B
123	B3	F
124	B4	B
125	B4	A
126	B4	B
127	B4	G
128	B5	B
129	B5	B
130	B5	B
131	B5	A
132	B5	B
133	B5	B
134	B5	B
135	B5	G
136	B5	G
137	B5	A
138	B5	G
139	B5	A
140	B5	B
141	C1	C
142	C1	C
143	C1	C
144	C1	C
145	C1	C
146	C1	C
147	C1	A
148	C1	A
149	C2	C
150	C2	C
151	C2	C
152	C2	C
153	C2	A
154	C2	A
155	C2	A
156	C2	C
157	D1	D
158	D1	D
159	D2	D
160	D2	A
161	D2	C
162	D2	D
163	D2	G
164	D2	A
165	D2	D
166	D3	D
167	D3	D
168	D3	D
169	D3	F
170	D3	D
171	D3	F
172	D3	F
173	D3	F
174	D3	F
175	D3	D
176	D3	D
177	D4	D
178	D4	D
179	D4	D
180	D4	B
181	D4	D
182	D4	D
183	D4	A
184	D4	D
185	D4	D
186	D4	D
187	D4	D
188	D5	B
189	D5	B
190	D5	D
191	D5	D
192	E1	G
193	E1	B
194	E1	B
195	E1	G
196	E1	E
197	E1	A
198	E2	B
199	E2	F
200	E2	E
201	E2	E
202	E2	E
203	E2	A
204	E2	G
205	E3	F
206	E3	E
207	E3	E
208	E3	F
209	E3	F
210	E3	F
211	E3	F
212	E3	F
213	E3	F
214	E3	G
215	E3	F
216	E3	F
217	E3	F
218	E3	F
219	E3	F
220	E3	E
221	E3	F
222	E3	F
223	E3	A
224	E3	E
225	G1	G
226	G1	G
227	G1	G
228	G1	G
229	G1	G
230	G1	G
231	G1	G
232	G1	G
233	G2	A
234	G2	A
235	G2	G
236	G2	B
237	G3	B
238	G3	G
239	G3	F
240	G3	G
241	G3	B
242	G3	B
243	G3	B
244	G3	B
245	G3	B
246	G3	B
247	G3	A
248	G3	G
249	G3	G
250	G3	G
251	G3	G
252	G3	G
253	G3	G
254	G3	G
255	G3	G
256	G3	G
257	G3	A
258	G4	A
259	G4	G
260	G4	A
261	G4	G
262	G4	G
263	G4	G
264	G4	G
265	G4	G
266	G4	G
267	G4	G
268	G4	G
269	G5	A
270	G5	G
271	G5	G
272	G5	B
273	G5	A
274	G5	G
275	G5	G
276	G5	G
277	G5	G
278	G5	G
279	G5	B
280	G5	A
281	G5	E
282	G5	G
283	G5	A
284	G5	A
285	G5	G
286	G5	G
287	G5	G
288	G5	G
289	G5	G
290	G5	A
291	G5	G
292	G5	G
293	G5	G
294	G5	D
295	G5	G
296	G5	G
297	G5	G
298	G5	G
299	G5	G
300	G5	G
301	G5	G
302	G5	A
303	G5	G
304	G5	G
305	G5	G
306	G5	G
307	G5	A
308	G5	A
309	G5	G
310	G5	G
311	G5	A
312	G5	B
313	G5	G
314	G5	A
315	G5	G
316	G5	A
317	G5	G
318	G5	G
319	G5	G
320	F1	F
321	F1	F
322	F1	A
323	F1	F
324	F1	F
325	F1	F
326	F1	F
327	F1	F
328	F1	F
329	F1	F
330	F1	F
331	F1	F
332	F1	F
333	F1	F
334	F1	F
335	F1	F
336	F1	F
337	F1	F
338	F1	F
339	F1	F
340	F1	A
341	F1	F
342	F1	F
343	F1	A
344	F1	H
345	F1	A
346	F1	H
347	F1	H
348	F1	H
349	F1	F
350	F1	A
351	F1	A
352	F1	A
353	F1	G
354	F1	G
355	F1	A
356	F2	F
357	F2	F
358	F2	F
359	F2	F
360	F2	E
361	F2	F
362	F2	F
363	F2	F
364	F2	F
365	F2	F
366	F2	F
367	F2	F
368	F2	F
369	F2	F
370	F2	F
371	F2	F
372	F2	F
373	F2	F
374	F2	F
375	F2	F
376	F2	F
377	F2	F
378	F2	F
379	F2	F
380	F3	D
381	F3	D
382	F3	F
383	F3	F
384	F3	F
385	F3	F
386	F3	F
387	F3	D
388	F3	D
389	F4	G
390	F4	E
391	F4	F
392	F4	B
393	F4	F
394	F4	F
395	F4	F
396	F4	F
