id	TF	group
1	B2	B
2	B2	D
3	B2	D
4	B2	D
5	B2	B
6	B2	D
7	B2	B
8	B2	B
9	B2	D
10	B2	D
11	B2	A
12	B2	B
13	B2	B
14	B2	B
15	B2	B
16	B2	A
17	B2	B
18	B2	B
19	B2	B
20	B2	B
21	B2	B
22	B2	E
23	B2	D
24	B2	B
25	B2	B
26	B2	D
27	B2	B
28	B2	H
29	B2	H
30	B2	B
31	B2	H
32	B2	B
33	B2	D
34	B2	D
35	B2	B
36	B2	D
37	B2	D
38	B2	D
39	B2	B
40	B2	D
41	B2	B
42	B2	D
43	B2	B
44	B2	D
45	B2	B
46	B2	D
47	B2	A
48	B2	B
49	B2	B
50	B2	D
51	B2	H
52	B2	D
53	B2	D
54	B2	D
55	B2	B
56	B2	B
57	B2	B
58	B2	D
59	B2	B
60	B2	B
61	B2	B
62	B2	B
63	B2	B
64	B2	H
65	B2	D
66	B2	B
67	B2	D
68	B2	D
69	B2	B
70	B2	A
71	B2	D
72	B2	D
73	B2	A
74	B2	B
75	B2	D
76	B2	B
77	B2	A
78	B2	B
79	B2	D
80	B2	D
81	B2	E
82	B2	D
83	B2	D
84	B2	D
85	B2	B
86	B2	D
87	B2	H
88	B2	D
89	B2	D
90	B2	D
91	B2	D
92	B2	B
93	B2	D
94	B2	C
95	B2	D
96	B2	B
97	B2	H
98	B2	B
99	B2	B
100	B2	H
101	B2	B
102	B2	D
103	B2	A
104	B2	B
105	B2	B
106	B2	H
107	B2	B
108	B2	A
109	B2	H
110	B2	B
111	B2	D
112	B2	B
113	B2	B
114	B2	H
115	B2	B
116	B2	D
117	B2	A
118	B2	B
119	B2	B
120	B2	E
121	B2	B
122	B2	B
123	B2	B
124	B2	D
125	B2	B
126	B2	B
127	B2	B
128	B2	B
129	B2	B
130	B2	B
131	B2	B
132	B2	B
133	B2	D
134	B2	E
135	B2	B
136	B2	B
137	B2	A
138	B2	B
139	B2	H
140	B2	B
141	B2	A
142	B2	A
143	B2	B
144	B2	A
145	B2	B
146	B2	D
147	B2	D
148	B2	D
149	B2	H
150	B2	B
151	B2	H
152	B2	D
153	B2	H
154	B2	B
155	B2	B
156	B2	D
157	B2	D
158	B2	B
159	B2	A
160	B2	D
161	B2	E
162	B2	D
163	B2	D
164	B2	B
165	B2	B
166	B2	D
167	B2	A
168	B2	B
169	B2	B
170	B2	B
171	B2	B
172	B2	E
173	B2	E
174	B2	D
175	B2	D
176	B2	D
177	B2	D
178	B2	B
179	B2	D
180	B2	D
181	B2	C
182	B2	D
183	B2	D
184	B2	A
185	B2	D
186	B2	B
187	B2	D
188	B2	D
189	B2	B
190	B2	A
191	B2	D
192	B2	B
193	B2	B
194	B2	B
195	B2	A
196	B2	A
197	B3	B
198	B3	A
199	B3	B
200	B3	C
201	B3	B
202	B3	D
203	B3	B
204	B3	B
205	B3	B
206	B3	B
207	B3	A
208	B3	B
209	B3	A
210	B3	D
211	B3	B
212	B3	A
213	B3	B
214	B3	H
215	B3	H
216	B3	A
217	B3	B
218	B3	E
219	B3	B
220	B3	B
221	B3	D
222	B3	B
223	B3	B
224	B3	A
225	B3	B
226	B3	B
227	B3	A
228	B3	H
229	B3	A
230	B3	B
231	B3	A
232	B3	B
233	B3	B
234	B3	B
235	B3	B
236	B3	B
237	B3	A
238	B3	B
239	B3	B
240	B3	B
241	B3	B
242	B3	A
243	B3	A
244	B3	A
245	B3	C
246	B3	B
247	B3	B
248	B3	B
249	B3	B
250	B3	B
251	B3	D
252	B3	B
253	B3	B
254	B3	B
255	B3	B
256	B3	B
257	B3	B
258	B3	B
259	B3	B
260	B3	B
261	B3	B
262	B3	B
263	B3	A
264	B3	B
265	B3	B
266	B3	B
267	B3	B
268	B3	B
269	B3	B
270	B3	C
271	B3	D
272	B3	B
273	B3	B
274	B3	B
275	B3	C
276	B3	B
277	B3	E
278	B3	B
279	B3	B
280	B3	D
281	B3	E
282	B3	B
283	B3	B
284	B3	A
285	B3	B
286	B3	C
287	B3	B
288	B3	B
289	B3	B
290	B3	C
291	B3	B
292	B3	B
293	B3	B
294	B3	B
295	B3	B
296	B3	B
297	B3	B
298	B3	B
299	B3	B
300	B3	B
301	B3	C
302	B3	B
303	B3	B
304	B3	B
305	B3	B
306	B3	B
307	B3	H
308	B3	D
309	B3	B
310	B3	B
311	B3	B
312	B3	B
313	B3	C
314	B3	B
315	B3	B
316	B3	B
317	B3	C
318	B3	B
319	B3	B
320	B3	B
321	B3	B
322	B3	H
323	B3	B
324	B3	B
325	B3	B
326	B3	H
327	B3	A
328	B3	B
329	B3	C
330	B3	A
331	B3	B
332	B3	B
333	B3	B
334	B3	A
335	B3	D
336	B3	H
337	B3	B
338	B3	A
339	B3	B
340	B3	B
341	B3	B
342	C2	C
343	C2	A
344	C2	C
345	C2	E
346	C2	C
347	C2	E
348	C2	C
349	C2	D
350	C2	D
351	C2	A
352	C2	D
353	C2	D
354	C2	D
355	C2	D
356	C2	D
357	C2	A
358	C2	A
359	C2	C
360	C2	A
361	C2	A
362	C2	C
363	C2	H
364	C2	D
365	C2	A
366	C2	C
367	C2	H
368	C2	D
369	C2	C
370	C2	A
371	C2	C
372	C2	C
373	C2	D
374	C2	A
375	C2	D
376	C2	C
377	C2	C
378	C2	A
379	C2	D
380	C2	A
381	C2	B
382	C2	D
383	C2	C
384	C2	A
385	C2	D
386	C2	H
387	C2	A
388	C2	A
389	C2	A
390	C2	C
391	C2	A
392	C2	C
393	C2	D
394	C2	A
395	C2	A
396	C2	C
397	C2	A
398	C2	D
399	C2	D
400	C2	A
401	C2	C
402	C2	A
403	C2	C
404	C2	C
405	C2	C
406	C2	C
407	C2	C
408	C2	C
409	C2	C
410	C2	C
411	C2	A
412	C2	D
413	C2	C
414	C2	A
415	C2	C
416	C2	C
417	C2	C
418	C2	C
419	C2	C
420	C2	H
421	C2	C
422	C2	H
423	C2	C
424	C2	C
425	C2	H
426	C2	A
427	C2	C
428	C2	C
429	C2	C
430	C2	C
431	C2	C
432	C2	C
433	C2	C
434	C2	A
435	C2	C
436	C2	B
437	C2	D
438	C2	B
439	C2	C
440	C2	D
441	C2	D
442	C2	D
443	C2	H
444	C2	C
445	C2	E
446	C2	C
447	C2	C
448	C2	C
449	C2	C
450	C2	C
451	C2	H
452	C2	H
453	C2	A
454	C2	B
455	C2	H
456	C2	D
457	C2	C
458	C2	C
459	C2	B
460	C2	D
461	C2	E
462	C2	B
463	C2	C
464	C2	A
465	C2	C
466	C2	C
467	C2	C
468	C2	D
469	C2	D
470	C2	C
471	C2	D
472	C2	D
473	C2	C
474	C2	A
475	C2	C
476	C2	C
477	C2	C
478	C2	C
479	C2	C
480	C2	C
481	C2	C
482	C2	D
483	C2	A
484	C2	C
485	C2	E
486	C2	C
487	C2	A
488	C2	B
489	C2	A
490	C2	D
491	C2	H
492	C2	D
493	C2	A
494	C2	C
495	C2	A
496	C2	A
497	C2	C
498	C2	D
499	C2	C
500	C2	C
501	C2	D
502	C2	C
503	C2	C
504	C2	B
505	C2	D
506	C2	C
507	C2	D
508	C2	C
509	C2	A
510	C2	C
511	C2	C
512	C2	D
513	C2	C
514	C2	B
515	C2	A
516	C2	A
517	C2	C
518	C2	A
519	C2	C
520	C2	D
521	C2	B
522	C2	C
523	C2	C
524	C2	C
525	C2	D
526	C2	D
527	C2	C
528	C2	C
529	C2	A
530	C2	C
531	C2	C
532	C2	C
533	C2	C
534	C2	D
535	C2	C
536	C2	C
537	C2	D
538	C2	D
539	C2	B
540	C2	A
541	C2	C
542	C2	B
543	C2	D
544	C2	C
545	C2	A
546	C2	C
547	C2	C
548	C2	C
549	C2	H
550	C2	C
551	C2	C
552	C2	D
553	C2	D
554	C2	B
555	C2	C
556	C2	D
557	C2	C
558	C2	C
559	C2	D
560	C2	C
561	C2	C
562	C2	D
563	C2	B
564	C2	C
565	C2	A
566	C2	C
567	C2	C
568	C2	A
569	C2	A
570	C2	C
571	A1	A
572	A1	A
573	A1	A
574	A1	A
575	A1	A
576	A1	A
577	A1	E
578	A1	A
579	A1	H
580	A1	A
581	A1	A
582	A1	A
583	A1	A
584	A1	A
585	A1	H
586	A1	D
587	A1	B
588	A1	A
589	A1	A
590	A1	A
591	A1	A
592	A1	A
593	A1	A
594	A1	A
595	A1	A
596	A1	A
597	A1	B
598	A1	E
599	A1	B
600	A1	H
601	A1	B
602	A1	D
603	A1	H
604	A1	A
605	A1	A
606	A1	A
607	A1	B
608	A1	A
609	A1	A
610	A1	A
611	A1	A
612	A1	B
613	A1	D
614	A1	B
615	A1	A
616	A1	B
617	A1	D
618	A1	B
619	A1	D
620	A1	A
