tissue	E2F7	ELF4	ELK4	EMX2	ESR1	GATA2	GATA6	GLIS3	HIC2	HNF4G	HOXA13	HOXC10	HOXC6	IKZF1	IRF1	MAFF	MEOX2	MNX1	MYT1L	NR2F2	PTTG1	RUNX1	SALL1	SHOX2	SNAI2	SOX10	STAT1	TCF21	TP63	TWIST1
Ligament	0.590051773	0.672602433	0.579786069	-0.075615729	-0.018077971	0.098319382	0.03024311	-0.016014562	-0.032200958	0.157307295	-0.042798875	-0.095709553	-0.009375466	0.746447754	0.661823636	0.086659206	0.154265678	0.216629869	-0.319108069	0.113597975	0.360409209	0.209385975	-0.135275496	0.054464744	-0.049445863	-0.020920038	0.640838088	0.343166056	-0.055308901	-0.072888709
Ligament	0.496400798	0.746195969	0.188855742	-0.127833962	-0.093646415	-0.084754862	-0.073258257	-0.221404319	-0.072208595	0.029034472	-0.086300973	-0.11162089	-0.133102961	0.920176417	0.873750717	-0.137210876	-0.096061656	0.166662644	-0.159354166	-0.108666735	0.319319615	0.076934141	-0.18393464	-0.097199948	-0.138672236	-0.12005196	0.526902371	0.091510375	-0.083357251	-0.141766517
Ligament	-0.159985602	0.1299738	0.287906502	0.023825217	0.025079041	0.249266957	0.266443877	0.471917464	-0.140245865	0.02031007	0.045133554	0.128916995	0.15455559	-0.108789383	0.015780011	0.504550164	0.304448025	-0.108793051	-0.291856239	0.325989299	-0.141824966	0.209230471	0.015439988	0.191455371	0.154056441	-0.177767903	-0.069645017	0.309470873	0.07339333	0.112295731
Tendon	-0.094604723	0.175638236	0.1747535	0.01946493	0.035222268	0.322031341	0.186265809	0.207558032	-0.215768927	-0.056268162	0.264352522	0.230518377	0.202857569	-0.072059528	-0.006946998	0.478988303	0.304637638	-0.13135531	-0.318060933	0.302314032	-0.134349369	0.201525084	-0.19496262	0.358892344	0.290690653	-0.132002625	0.012381143	0.152470081	-0.018341792	0.200368561
Tendon	-0.249948241	-0.09007463	0.076140481	0.188714834	0.174618174	0.178954924	0.410319227	0.478714042	-0.189502443	-0.202660483	0.086474995	0.160017031	0.341578887	-0.339579739	-0.311064354	0.50428329	0.366871519	-0.313727533	-0.235156035	0.488146888	-0.278292864	0.163385349	0.061018009	0.39822793	0.377209137	0.093348929	-0.081984766	0.126354216	-0.113001645	0.404903685
Tendon	-0.178308216	0.610836372	0.461529816	0.149723694	0.299046314	0.439210976	0.320736333	0.333738258	-0.219593814	0.04416096	0.224271755	0.140223066	0.405062925	0.296894046	0.501753179	0.679614001	0.431729031	-0.172664944	-0.694327989	0.518722781	-0.175216859	0.479758322	-0.091527717	0.306419105	0.493186329	-0.147646761	-0.027011378	0.349271978	0.139241508	0.370097761
Tendon	-0.087261427	0.180231156	0.506116066	0.001998447	0.099376927	0.26285102	0.046463267	0.287929536	-0.119171004	0.159870864	0.196907173	0.119093585	0.227065255	-0.159675328	-0.01413272	0.436015653	0.303088029	-0.011119896	-0.479828813	0.23191854	-0.015526312	0.409253946	-0.039612167	0.222891991	0.31345196	0.122597084	-0.106113112	0.118647945	0.605980815	0.178168723
Vagina	-0.033872848	0.516694782	-0.182995211	-0.075307618	-0.05985242	-0.088879641	-0.086925523	-0.175437159	-0.127991944	-0.036449544	-0.055967178	-0.057222886	-0.083454544	0.674927701	0.744166687	-0.107765309	-0.077328532	-0.049172935	-0.080418198	-0.117158299	-0.017745726	0.048674467	-0.108263444	-0.073940026	-0.102474943	-0.07656889	-0.004249301	-0.045833295	-0.051523905	-0.082843229
Vagina	0.123639091	0.576923395	0.339130212	0.009308442	0.046245073	0.191586701	0.334584108	0.167399069	0.067094154	0.607725659	0.061958635	-0.026128938	0.184204335	0.305319418	0.421106548	0.187286533	0.044433744	0.478818029	-0.400015329	0.244182745	0.073175248	0.382335545	-0.23091801	0.108991615	0.248794146	-0.182811809	0.204133197	0.317378547	-0.205770856	0.200911948
Vagina	-0.010528382	0.085252583	0.294740399	-0.010131714	-0.070046165	-0.04724693	-0.11839402	-0.187939089	-0.082505639	-0.046819899	-0.062916549	0.239102972	0.150744735	-0.047944922	-0.058662636	0.163313091	0.010582159	-0.055215245	-0.10276934	-0.110522197	0.018280762	0.070710661	-0.138619001	0.032574447	0.194551963	-0.009531278	-0.037425468	-0.112177346	0.813050241	0.205586022
Vagina	0.063333619	0.110754706	0.22280606	-0.08151372	0.006967049	-0.037696562	-0.157230085	-0.232446221	-0.045370064	-0.036233366	0.005889134	0.075626457	0.02722139	-0.061052946	-0.049298286	0.195605139	-0.052063934	-0.06092906	-0.147387297	-0.127411107	0.118452208	0.100165003	-0.155965619	-0.052580621	0.166156213	-0.069602337	-0.055951113	-0.048595876	0.836174215	0.095716257
Pluripotentstemcell	-0.033872848	0.516694782	-0.182995211	-0.075307618	-0.05985242	-0.088879641	-0.086925523	-0.175437159	-0.127991944	-0.036449544	-0.055967178	-0.057222886	-0.083454544	0.674927701	0.744166687	-0.107765309	-0.077328532	-0.049172935	-0.080418198	-0.117158299	-0.017745726	0.048674467	-0.108263444	-0.073940026	-0.102474943	-0.07656889	-0.004249301	-0.045833295	-0.051523905	-0.082843229
Pluripotentstemcell	0.780476341	0.451934001	0.397394408	-0.137366551	-0.140215088	-0.086514916	-0.077091629	-0.183668028	0.053688257	0.057591839	-0.112529796	-0.128777085	-0.164414709	0.615982365	0.438875048	-0.180273794	-0.077436795	0.268983199	-0.049227583	-0.116577264	0.487793543	-0.011846439	-0.14472518	-0.096122956	-0.192965352	-0.057648485	0.782327282	0.105932401	-0.122421337	-0.182470053
Pluripotentstemcell	-0.05481293	0.511176377	-0.184431733	-0.096930404	-0.08162522	-0.076440631	-0.044679946	-0.17388195	-0.142346614	-0.039991752	-0.087284506	-0.081938989	-0.087420085	0.691255272	0.77209632	-0.106973383	-0.067840711	-0.075109278	-0.095099904	-0.126230329	-0.035460869	0.068786923	-0.106013393	-0.096080853	-0.124140898	-0.096123988	-0.014667267	0.034609964	-0.081291352	-0.099181589
Pluripotentstemcell	-0.207715181	-0.326489353	-0.477012913	0.02961319	-0.145451238	-0.269507596	-0.327228454	-0.250945754	0.092832224	-0.131300093	-0.162618616	-0.177067771	-0.191964108	-0.019250113	-0.121065203	-0.340048207	-0.151209003	-0.260302799	0.834427745	-0.335616399	-0.216424507	-0.239447324	0.057658525	-0.17166198	-0.230960555	0.131220694	-0.194111627	-0.235878487	-0.148802904	-0.150327602
Pluripotentstemcell	-0.026889494	-0.016745633	0.234237904	-0.169694926	-0.102681622	0.073197333	-0.111436488	-0.164450372	0.082500184	0.177151872	0.051896496	-0.035199959	-0.121392463	-0.148569623	-0.106306502	-0.004757873	-0.211992369	0.092300771	-0.104970422	-0.312226033	0.140338393	0.226862209	-0.01503304	-0.190820412	0.072154211	-0.006291192	-0.171390929	-0.081529367	0.759924507	-0.008017303
Salivarygland	-0.028705263	0.643955143	0.123922549	-0.113299011	-0.048563558	0.040088579	0.030215731	-0.123199791	0.020042782	0.21949652	-0.042875405	-0.119690287	-0.111040878	0.919039289	0.90514933	-0.068386916	-0.075966652	0.02404454	-0.200949599	0.013457918	0.037132282	0.235985759	-0.180989353	-0.100254723	-0.049852169	-0.138548256	-0.000495265	0.308926789	-0.042760973	-0.120615995
Salivarygland	0.013946236	0.121554526	0.322030648	-0.097817324	0.038816701	0.073937625	-0.137322595	-0.183706147	-0.12988205	0.032991592	0.109776522	0.115136741	0.026936389	-0.066410377	-0.02480661	0.176134314	-0.07983252	-0.062859213	-0.224124612	-0.145220174	0.053632038	0.162548392	-0.046487343	-0.087655483	0.230524667	-0.112132309	-0.067388273	0.00100341	0.904958182	0.093569747
